Question,Choice1,Choice2,Choice3,Choice4,Answer
Who had put the second foot on moon?,Aldrin,N. Armstrong,Mark Hamill,K. Chawla,2
What colour was the Statue of Liberty originally?,White,Green,Copper,Yellow,3
Which of the following is most popular according to data from his play in past?,Sachin Tendulkar,Virat Kohli,Hardik Pandya,Saurabh Ganguly,1
Which war started in 1939 and ended in 1945?,WW-1,WW-2,Vietnam War,Indo-China War,2
Who was the first President of the United States of America?,George Bush,George W. Bush,George Washington,Donald Trump,3
What is Thomas Edison famous for inventing?,Light Bulb,WiFi,iPad,Smartphone,1
Adolf Hitler was born in which country?,France,Germany,Austria,Hungary,3
In which year did India get independence from Britain?,1944,1945,1946,1947,3
The ancient Egyptians used to sleep on pillows made of:,Stones,Gold,Cotton,Iron,1
The United States bought Alaska from which country?,Britain,France,India,Russia,4
