Question,Choice1,Choice2,Choice3,Choice4,Answer
Which of the following is the capital of Ukraine?,Kyiv,Kharkyiv,Lviv,Vinnitsa,1
Which of the following is the capital of Ethiopia?,San Salvador,Dili,Cairo,Addis Ababa,4
Which of the following is the capital of Finland?,Djibouti,Nicodia,Helsinki,Prague,3
What is the height of Mount Everest in 2022,6738m,6848m,8739m,8849m,4
Which of the following is the only active volcano in India?,Barren Island,Narcondam,Mt. Stroboli,Mt.Kilimanjaro,1
Which of the following Latitudes run through almost the middle of India?,Tropic of Capricorn,Equator,Tropic of Cancer,Arctic Circle,2
Which of the following is the largest desert in the world?,Sahara Desert,Thar Desert,Kalahari Desert,Gobi Desert,1
Which of the following is the world's smallest country?,Monaco,Nauru,Vatican City,San Marino,3
Which of the following is the largest island in the world?,Indonesian Archipelago,Lakshwadeep Islands,Bahamas,Greenland,4
Which of the countries has the third highest population?,India,USA,China,Indonesia,2
